111 PROJECT,111 PROJECT OF CHINA
111 PROJECT OF CHINA,111 PROJECT OF CHINA
111 PROJECT MINISTRY OF EDUCATION CHINA 111 PROJECT,111 PROJECT OF CHINA
973 PROGRAM,973 PROJECT OF CHINA
973 PROGRAM OF CHINA,973 PROJECT OF CHINA
973 PROJECT,973 PROJECT OF CHINA
973 PROJECT OF MINISTRY OF SCIENCE AND TECHNOLOGY OF CHINA,973 PROJECT OF CHINA
ACADEMY OF FINLAND,ACADEMY OF FINLAND
ACADEMY OF FINLAND THROUGH ITS CENTRE OF EXCELLENCE PROGRAM,ACADEMY OF FINLAND
ACADEMY OF FINLAND THROUGH THE CENTRES OF EXCELLENCE PROGRAM,ACADEMY OF FINLAND
AFOSR,AFOSR
AGENCE NATIONALE DE LA RECHERCHE,ANR
AGENCIA NACIONAL DE PROMOCION CIENTIFICA Y TECNOLOGICA ANPCYT OF ARGENTINA,ANPCYT
AGENCIA NACIONAL DE PROMOCION CIENTIFICA Y TECNOLOGICA OF ARGENTINA,ANPCYT
ANPCYT OF ARGENTINA,ANPCYT
AIR FORCE OFFICE OF SCIENTIFIC RESEARCH,AFOSR
AIR FORCE OFFICE OF SCIENTIFIC RESEARCH AFOSR,AFOSR
AIR FORCE OFFICE OF SCIENTIFIC RESEARCH GRANT,AFOSR
ALEXANDER VON HUMBOLDT FOUNDATION,ALEXANDER VON HUMBOLDT FOUNDATION
ALEXANDER VON HUMBOLDT FOUNDATION GERMANY,ALEXANDER VON HUMBOLDT FOUNDATION
ALEXANDER VON HUMBOLDTFOUNDATION OF GERMANY,ALEXANDER VON HUMBOLDT FOUNDATION
AMERICAN CHEMICAL SOCIETY PETROLEUM RESEARCH FUND,AMERICAN CHEMICAL SOCIETY PETROLEUM RESEARCH FUND
AMERICAN CHEMICAL SOCIETY PETROLEUM RESEARCH FUND ACS PRF,AMERICAN CHEMICAL SOCIETY PETROLEUM RESEARCH FUND
ANPCYT,ANPCYT
ANR,ANR
ASSISTANT SECRETARY FOR ENERGY EFFICIENCY AND RENEWABLE ENERGY OFFICE OF VEHICLE TECHNOLOGIES OF THE US DEPARTMENT OF ENERGY,US DEPARTMENT OF ENERGY
ARC,AUSTRALIAN RESEARCH COUNCIL
AUSTRALIAN RESEARCH COUNCIL,AUSTRALIAN RESEARCH COUNCIL
AUSTRALIAN RESEARCH COUNCIL ARC,AUSTRALIAN RESEARCH COUNCIL
AUSTRALIAN RESEARCH COUNCIL DISCOVERY PROJECT,AUSTRALIAN RESEARCH COUNCIL
AUSTRIAN FONDS ZUR FORDERUNG DER WISSENSCHAFTLICHEN FORSCHUNG FWF,AUSTRIAN SCIENCE FUND
FWF,AUSTRIAN SCIENCE FUND
AUSTRIAN SCIENCE FOUNDATION FWF,AUSTRIAN SCIENCE FUND
AUSTRIAN SCIENCE FUND,AUSTRIAN SCIENCE FUND
AUSTRIAN SCIENCE FUND FWF,AUSTRIAN SCIENCE FUND
BASIC SCIENCE RESEARCH PROGRAM OF THE NRF,THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF
BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF SCIENCE ICT FUTURE PLANNING KOREA,MINISTRY OF SCIENCE ICT AND FUTURE PLANNING OF KOREA
BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF EDUCATION,MINISTRY OF SCIENCE ICT AND FUTURE PLANNING OF KOREA
BASQUE DEPARTAMENTO DE EDUCACION,BASQUE DEPARTAMENTO DE EDUCACION
BASQUE DEPARTAMENTO DE EDUCACION UNIVERSIDADES E INVESTIGACION,BASQUE DEPARTAMENTO DE EDUCACION
BMBF,BMBF
BRAZILIAN AGENCY CAPES,BRAZILIAN AGENCY CAPES
CAPES,BRAZILIAN AGENCY CAPES
BRAZILIAN AGENCY CNPQ,BRAZILIAN AGENCY CNPQ
BRAZILIAN AGENCY FAPEMIG,BRAZILIAN AGENCY FAPEMIG
BRAZILIAN FUNDING AGENCY NATIONAL COUNCIL FOR SCIENTIFIC AND TECHNOLOGICAL DEVELOPMENT CNPQ,BRAZILIAN AGENCY CNPQ
BRAZILIAN NATIONAL COUNCIL FOR SCIENTIFIC AND TECHNOLOGICAL DEVELOPMENT CNPQ BRAZIL,BRAZILIAN AGENCY CNPQ
